processid	sampleid	recordID	catalognum	fieldnum	institution_storing	collection_code	bin_uri	phylum_taxID	phylum_name	class_taxID	class_name	order_taxID	order_name	family_taxID	family_name	subfamily_taxID	subfamily_name	genus_taxID	genus_name	species_taxID	species_name	subspecies_taxID	subspecies_name	identification_provided_by	identification_method	identification_reference	tax_note	voucher_status	tissue_type	collection_event_id	collectors	collectiondate_start	collectiondate_end	collectiontime	collection_note	site_code	sampling_protocol	lifestage	sex	reproduction	habitat	associated_specimens	associated_taxa	extrainfo	notes	lat	lon	coord_source	coord_accuracy	elev	depth	elev_accuracy	depth_accuracy	country	province_state	region	sector	exactsite	image_ids	image_urls	media_descriptors	captions	copyright_holders	copyright_years	copyright_licenses	copyright_institutions	photographers
GBGCR318-15	KF273840	5633930	IGUNdna0000005	KF273840	Mined from GenBank, NCBI		BOLD:AAR5109	18	Chordata	76	Reptilia	757336	Crocodylia	1109	Crocodylidae			79471	Crocodylus	195564	Crocodylus acutus					CUVIER 1807																		taxon:48399										Colombia													
GBGCR323-15	KF273835	5633935	IGUNdna0000011	KF273835	Mined from GenBank, NCBI		BOLD:AAR5109	18	Chordata	76	Reptilia	757336	Crocodylia	1109	Crocodylidae			79471	Crocodylus	195564	Crocodylus acutus					CUVIER 1807																		taxon:48399										Colombia													
GBGCR324-15	KF273834	5633936	IGUNdna0000008	KF273834	Mined from GenBank, NCBI		BOLD:AAR5109	18	Chordata	76	Reptilia	757336	Crocodylia	1109	Crocodylidae			79471	Crocodylus	195564	Crocodylus acutus					CUVIER 1807																		taxon:48399										Colombia													
GBGCR462-15	KJ710930	6166193	CNiQENP04	KJ710930	Mined from GenBank, NCBI		BOLD:AAC4127	18	Chordata	76	Reptilia	757336	Crocodylia	1109	Crocodylidae			79471	Crocodylus	81934	Crocodylus niloticus					LAURENTI 1768					M. Shirley													taxon:8501		-0.2343	29.8882							Uganda		Queen Elizabeth National Park											
GBGCR467-15	KJ710935	6166198	CNiMFNP03	KJ710935	Mined from GenBank, NCBI		BOLD:AAC4127	18	Chordata	76	Reptilia	757336	Crocodylia	1109	Crocodylidae			79471	Crocodylus	81934	Crocodylus niloticus					LAURENTI 1768					M. Shirley													taxon:8501		2.3045	31.7528							Uganda		Murchison Falls National Park											
GBGCR476-15	KJ710944	6166207	CNiEDW04	KJ710944	Mined from GenBank, NCBI		BOLD:AAC4127	18	Chordata	76	Reptilia	757336	Crocodylia	1109	Crocodylidae			79471	Crocodylus	81934	Crocodylus niloticus					LAURENTI 1768					M. Shirley													taxon:8501		23.8666	32.9104							Egypt		north Lake Nasser, west bank											
GBGCR488-15	KJ710956	6166219	CNiLMNP01	KJ710956	Mined from GenBank, NCBI		BOLD:AAC4127	18	Chordata	76	Reptilia	757336	Crocodylia	1109	Crocodylidae			79471	Crocodylus	81934	Crocodylus niloticus					LAURENTI 1768					M. Shirley													taxon:8501		-0.6	30.95							Uganda		Lake Mburo National Park											
GBGCR509-15	HM490329	6166240	MAS7	HM490329	Mined from GenBank, NCBI		BOLD:ACS0729	18	Chordata	76	Reptilia	757336	Crocodylia	1109	Crocodylidae			79471	Crocodylus	462342	Crocodylus palustris					LESSON 1831																		taxon:184238																							
GBGCR511-15	HM490331	6166242	AP1	HM490331	Mined from GenBank, NCBI		BOLD:ACS0729	18	Chordata	76	Reptilia	757336	Crocodylia	1109	Crocodylidae			79471	Crocodylus	462342	Crocodylus palustris					LESSON 1831																		taxon:184238																							
GBGCR515-15	HM490335	6166246	AP5	HM490335	Mined from GenBank, NCBI		BOLD:ACS0729	18	Chordata	76	Reptilia	757336	Crocodylia	1109	Crocodylidae			79471	Crocodylus	462342	Crocodylus palustris					LESSON 1831																		taxon:184238																							
GBGCR527-15	HM490347	6166258	MAS4	HM490347	Mined from GenBank, NCBI		BOLD:ADC8669	18	Chordata	76	Reptilia	757336	Crocodylia	1109	Crocodylidae			79471	Crocodylus	79472	Crocodylus porosus					SCHNEIDER 1801																		taxon:8502																							
GBGCR533-15	HM490353	6166264	MAS10	HM490353	Mined from GenBank, NCBI		BOLD:ADC8669	18	Chordata	76	Reptilia	757336	Crocodylia	1109	Crocodylidae			79471	Crocodylus	79472	Crocodylus porosus					SCHNEIDER 1801																		taxon:8502																							
GBGCR535-15	HM490355	6166266	AP2	HM490355	Mined from GenBank, NCBI		BOLD:ADC8669	18	Chordata	76	Reptilia	757336	Crocodylia	1109	Crocodylidae			79471	Crocodylus	79472	Crocodylus porosus					SCHNEIDER 1801																		taxon:8502																							
GBGCR552-15	KJ710875	6166283	CNiDCF03	KJ710875	Mined from GenBank, NCBI		BOLD:AAC4128	18	Chordata	76	Reptilia	757336	Crocodylia	1109	Crocodylidae			79471	Crocodylus	717032	Crocodylus suchus										M. Shirley													taxon:1314694										Cote d'Ivoire		Dipi Crocodile Farm											
GBGCR553-15	KJ710884	6166284	CNiACIZ01	KJ710884	Mined from GenBank, NCBI		BOLD:AAC4128	18	Chordata	76	Reptilia	757336	Crocodylia	1109	Crocodylidae			79471	Crocodylus	717032	Crocodylus suchus										M. Shirley													taxon:1314694										Cote d'Ivoire	Abidjan	Abidjan Zoo											
GBGCR563-15	KJ710871	6166294	CNiAW05	KJ710871	Mined from GenBank, NCBI		BOLD:AAC4128	18	Chordata	76	Reptilia	757336	Crocodylia	1109	Crocodylidae			79471	Crocodylus	717032	Crocodylus suchus										M. Shirley													taxon:1314694		5.0203	-2.5971							Ghana		Amansuri Wetland											
GBGCR566-15	KJ710878	6166297	CNiHAP03	KJ710878	Mined from GenBank, NCBI		BOLD:AAC4128	18	Chordata	76	Reptilia	757336	Crocodylia	1109	Crocodylidae			79471	Crocodylus	717032	Crocodylus suchus										M. Shirley													taxon:1314694		5.0483	-2.8831							Ghana		Half Assinie											
GBGCR572-15	KJ710885	6166303	CNiBnp01	KJ710885	Mined from GenBank, NCBI		BOLD:AAC4128	18	Chordata	76	Reptilia	757336	Crocodylia	1109	Crocodylidae			79471	Crocodylus	717032	Crocodylus suchus										M. Shirley													taxon:1314694		8.294	-2.2797							Ghana	Volta	Black Volta River, Bui NP											
GBGCR600-15	KJ710898	6166331	CNiDZ01	KJ710898	Mined from GenBank, NCBI		BOLD:AAC4128	18	Chordata	76	Reptilia	757336	Crocodylia	1109	Crocodylidae			79471	Crocodylus	717032	Crocodylus suchus										M. Shirley													taxon:1314694										Senegal	Dakar	Dakar Zoo											
GBGCR603-15	KJ710901	6166334	CNiFDS04	KJ710901	Mined from GenBank, NCBI		BOLD:AAC4128	18	Chordata	76	Reptilia	757336	Crocodylia	1109	Crocodylidae			79471	Crocodylus	717032	Crocodylus suchus										M. Shirley													taxon:1314694										Senegal		Djibelor Crocodile Farm, Cassamance											
GBGCR619-15	KM032773	6166350	60200	KM032773	Mined from GenBank, NCBI		BOLD:AAC4128	18	Chordata	76	Reptilia	757336	Crocodylia	1109	Crocodylidae			79471	Crocodylus	717032	Crocodylus suchus																							taxon:1314694										United States		Busch Gardens Tampa											
GBGCR623-15	KM032777	6166354		KM032777	Mined from GenBank, NCBI		BOLD:AAC4128	18	Chordata	76	Reptilia	757336	Crocodylia	1109	Crocodylidae			79471	Crocodylus	717032	Crocodylus suchus																							taxon:1314694										United States		Everglades Alligator Adventure											
GBGCR650-15	KM406135	6166381	Z91	KM406135	Mined from GenBank, NCBI		BOLD:ACH5555	18	Chordata	76	Reptilia	757336	Crocodylia	1109	Crocodylidae			103408	Osteolaemus	717218	Osteolaemus cf. tetraspis																							taxon:1652131																							
GBGCR651-15	KM406145	6166382	Z109	KM406145	Mined from GenBank, NCBI			18	Chordata	76	Reptilia	757336	Crocodylia	1109	Crocodylidae			103408	Osteolaemus	717218	Osteolaemus cf. tetraspis																							taxon:1652131																							
GBGCR667-15	KJ722678	6166398	TLPZ06_WA	KJ722678	Mined from GenBank, NCBI			18	Chordata	76	Reptilia	757336	Crocodylia	1109	Crocodylidae			103408	Osteolaemus	103409	Osteolaemus tetraspis					COPE 1861																		taxon:184242										United States		Lincoln Park Zoo											
GBGCR6810-19	KM104192	9675947			Mined from GenBank, NCBI			18	Chordata	76	Reptilia	757336	Crocodylia	1109	Crocodylidae			165506	Mecistops	165507	Mecistops cataphractus					CUVIER 1825																												United States													
GBGCR681-15	KJ722692	6166412	TPZ01_Ot	KJ722692	Mined from GenBank, NCBI			18	Chordata	76	Reptilia	757336	Crocodylia	1109	Crocodylidae			103408	Osteolaemus	103409	Osteolaemus tetraspis					COPE 1861																		taxon:184242										United States		Philidelphia Zoo											
GBGCR682-15	KJ722693	6166413	TPZ02_Ot	KJ722693	Mined from GenBank, NCBI			18	Chordata	76	Reptilia	757336	Crocodylia	1109	Crocodylidae			103408	Osteolaemus	103409	Osteolaemus tetraspis					COPE 1861																		taxon:184242										United States		Philidelphia Zoo											
GBGCR6825-19	KM104207	9675962			Mined from GenBank, NCBI			18	Chordata	76	Reptilia	757336	Crocodylia	1109	Crocodylidae			165506	Mecistops	165507	Mecistops cataphractus					CUVIER 1825																												United States													
GBGCR6831-19	KM104213	9675968			Mined from GenBank, NCBI			18	Chordata	76	Reptilia	757336	Crocodylia	1109	Crocodylidae			165506	Mecistops	165507	Mecistops cataphractus					CUVIER 1825																												United States													
GBGCR683-15	KJ722694	6166414	TPZ03_Ot	KJ722694	Mined from GenBank, NCBI			18	Chordata	76	Reptilia	757336	Crocodylia	1109	Crocodylidae			103408	Osteolaemus	103409	Osteolaemus tetraspis					COPE 1861																		taxon:184242										United States		Philidelphia Zoo											
GBGCR6838-19	KY994091	9675975	Chacahua_Oax 48		Mined from GenBank, NCBI		BOLD:ADC8567	18	Chordata	76	Reptilia	757336	Crocodylia	1109	Crocodylidae			79471	Crocodylus	462340	Crocodylus moreletii					DUMÉRIL & BIBRON 1851																				15.9969	-97.6557							Mexico													
GBGCR6846-19	KY994099	9675983	Fenix_CAMP 214		Mined from GenBank, NCBI		BOLD:ADC8567	18	Chordata	76	Reptilia	757336	Crocodylia	1109	Crocodylidae			79471	Crocodylus	462340	Crocodylus moreletii					DUMÉRIL & BIBRON 1851																				18.7934	-91.2593							Mexico													
GBGCR6847-19	MH758764	9675984	MC5		Mined from GenBank, NCBI			18	Chordata	76	Reptilia	757336	Crocodylia	1109	Crocodylidae			79471	Crocodylus	195564	Crocodylus acutus					CUVIER 1807																																									
GBGCR6853-19	MH161364	9675990			Mined from GenBank, NCBI			18	Chordata	76	Reptilia	757336	Crocodylia	1109	Crocodylidae			80679	Tomistoma	80680	Tomistoma schlegelii					MÜLLER 1838																																									
GBGCR704-15	KM406146	6166435	Z110	KM406146	Mined from GenBank, NCBI			18	Chordata	76	Reptilia	757336	Crocodylia	1109	Crocodylidae			103408	Osteolaemus	103409	Osteolaemus tetraspis					COPE 1861																		taxon:184242																							
GBGCR705-15	KM406147	6166436	Z111	KM406147	Mined from GenBank, NCBI			18	Chordata	76	Reptilia	757336	Crocodylia	1109	Crocodylidae			103408	Osteolaemus	103409	Osteolaemus tetraspis					COPE 1861																		taxon:184242																							
GBGCR706-15	KM406148	6166437	Z112	KM406148	Mined from GenBank, NCBI			18	Chordata	76	Reptilia	757336	Crocodylia	1109	Crocodylidae			103408	Osteolaemus	103409	Osteolaemus tetraspis					COPE 1861																		taxon:184242																							
GBGCR707-15	KM406149	6166438	Z113	KM406149	Mined from GenBank, NCBI			18	Chordata	76	Reptilia	757336	Crocodylia	1109	Crocodylidae			103408	Osteolaemus	103409	Osteolaemus tetraspis					COPE 1861																		taxon:184242																							
GBMNA11061-19	JX292787	9628059		JX292787	Mined from GenBank, NCBI		BOLD:ACI0039	18	Chordata	76	Reptilia	757336	Crocodylia	1109	Crocodylidae			79471	Crocodylus	500506	Crocodylus rhombifer					CUVIER 1807																																									
GBMNA11066-19	HM636894	9628064		HM636894	Mined from GenBank, NCBI		BOLD:AAR5109	18	Chordata	76	Reptilia	757336	Crocodylia	1109	Crocodylidae			79471	Crocodylus	195564	Crocodylus acutus					CUVIER 1807																																									
GBMNA19021-19	AJ810453	9636529		AJ810453	Mined from GenBank, NCBI		BOLD:ADC8669	18	Chordata	76	Reptilia	757336	Crocodylia	1109	Crocodylidae			79471	Crocodylus	79472	Crocodylus porosus					SCHNEIDER 1801																																									
GBMTG2352-16	NC_014706	6960725		NC_014706	Mined from GenBank, NCBI		BOLD:ACS0729	18	Chordata	76	Reptilia	757336	Crocodylia	1109	Crocodylidae			79471	Crocodylus	462342	Crocodylus palustris					LESSON 1831																																									
GBMTG2460-16	NC_015647	6960833		NC_015647	Mined from GenBank, NCBI		BOLD:AAR5109	18	Chordata	76	Reptilia	757336	Crocodylia	1109	Crocodylidae			79471	Crocodylus	195564	Crocodylus acutus					CUVIER 1807																																									
GBMTG817-16	NC_008143	6959190		NC_008143	Mined from GenBank, NCBI		BOLD:ADC8669	18	Chordata	76	Reptilia	757336	Crocodylia	1109	Crocodylidae			79471	Crocodylus	79472	Crocodylus porosus					SCHNEIDER 1801																																									
BSHMT124-09	BSHMT_93	998539			American Museum of Natural History		BOLD:AAA8321	18	Chordata	76	Reptilia	757336	Crocodylia	1109	Crocodylidae			103408	Osteolaemus	103409	Osteolaemus tetraspis	195563	Osteolaemus tetraspis osborni								Mitchell Eaton																							Republic of the Congo				Dzeke									
BSHMT126-09	BSHMT_95	998541			American Museum of Natural History		BOLD:AAA8321	18	Chordata	76	Reptilia	757336	Crocodylia	1109	Crocodylidae			103408	Osteolaemus	103409	Osteolaemus tetraspis	195563	Osteolaemus tetraspis osborni								Mitchell Eaton																							Republic of the Congo				Mokengui									
BSHMT128-09	C-CC1	998543		C-CC1	American Museum of Natural History		BOLD:AAC6458	18	Chordata	76	Reptilia	757336	Crocodylia	1109	Crocodylidae			165506	Mecistops	165507	Mecistops cataphractus					CUVIER 1825					Mitchell Eaton								M						Genus has since been changed - from Crocodylus to Mecistops	1.0988	17.3154							Republic of the Congo				Likouala									
BSHMT131-09	C-CC4	998546		C-CC4	American Museum of Natural History		BOLD:AAC6458	18	Chordata	76	Reptilia	757336	Crocodylia	1109	Crocodylidae			165506	Mecistops	165507	Mecistops cataphractus					CUVIER 1825					Mitchell Eaton														Genus has since been changed - from Crocodylus to Mecistops	1.37328	17.1529							Republic of the Congo				Lac tele									
BSHMT134-09	G-CC7	998549		G-CC7	American Museum of Natural History		BOLD:AAC6458	18	Chordata	76	Reptilia	757336	Crocodylia	1109	Crocodylidae			165506	Mecistops	165507	Mecistops cataphractus					CUVIER 1825					Mitchell Eaton								M						Genus has since been changed - from Crocodylus to Mecistops	-2.20972	9.69881							Gabon				Rembo Echira									
BSHMT145-09	G-CN48	998560		G-CN48	American Museum of Natural History		BOLD:AAC4127	18	Chordata	76	Reptilia	757336	Crocodylia	1109	Crocodylidae			79471	Crocodylus	81934	Crocodylus niloticus					LAURENTI 1768					Mitchell Eaton								F							-2.27629	9.59827							Gabon				P. Loango lagoon									
GBGC11140-13	JF502245	3589350	Hekkala ID# SEN8		Mined from GenBank, NCBI		BOLD:AAC4127	18	Chordata	76	Reptilia	757336	Crocodylia	1109	Crocodylidae			79471	Crocodylus	81934	Crocodylus niloticus					LAURENTI 1768																												Zimbabwe		Sengwa,Lake Kariba											
GBGC11141-13	JF502244	3589351	Gatesy Lab ID #33		Mined from GenBank, NCBI		BOLD:AAC4128	18	Chordata	76	Reptilia	757336	Crocodylia	1109	Crocodylidae			79471	Crocodylus	81934	Crocodylus niloticus					LAURENTI 1768																												Mauritania		Linsherbe,Guelta											
GBGC11142-13	JF502243	3589352	Gatesy Lab ID #32		Mined from GenBank, NCBI		BOLD:AAC4128	18	Chordata	76	Reptilia	757336	Crocodylia	1109	Crocodylidae			79471	Crocodylus	81934	Crocodylus niloticus					LAURENTI 1768																												Gambia		Gambia River											
GBGC11605-13	JX627024	3630638	JX627024	JX627024	Mined from GenBank, NCBI		BOLD:ACH5555	18	Chordata	76	Reptilia	757336	Crocodylia	1109	Crocodylidae			103408	Osteolaemus	647702	Osteolaemus sp. FAF-2012																																														
GBGC11609-13	JX627020	3630642	JX627020	JX627020	Mined from GenBank, NCBI		BOLD:AAA8319	18	Chordata	76	Reptilia	757336	Crocodylia	1109	Crocodylidae			103408	Osteolaemus	103409	Osteolaemus tetraspis					COPE 1861																																									
GBGC11613-13	JX627016	3630646	JX627016	JX627016	Mined from GenBank, NCBI		BOLD:AAA8320	18	Chordata	76	Reptilia	757336	Crocodylia	1109	Crocodylidae			103408	Osteolaemus	647702	Osteolaemus sp. FAF-2012																																														
GBGC11622-13	JX627007	3630655	JX627007	JX627007	Mined from GenBank, NCBI			18	Chordata	76	Reptilia	757336	Crocodylia	1109	Crocodylidae			103408	Osteolaemus	647702	Osteolaemus sp. FAF-2012																																														
GBGC4395-08	EF581859	785105	EF581859		Mined from GenBank, NCBI		BOLD:AAF1618	18	Chordata	76	Reptilia	757336	Crocodylia	1109	Crocodylidae			79471	Crocodylus	105798	Crocodylus siamensis					SCHNEIDER 1801																																									
GBGC4835-08	EU159863	787894	EU159863		Mined from GenBank, NCBI		BOLD:AAA8319	18	Chordata	76	Reptilia	757336	Crocodylia	1109	Crocodylidae			103408	Osteolaemus	103409	Osteolaemus tetraspis					COPE 1861																																									
GBGC4836-08	EU159862	787895	EU159862		Mined from GenBank, NCBI		BOLD:AAA8319	18	Chordata	76	Reptilia	757336	Crocodylia	1109	Crocodylidae			103408	Osteolaemus	103409	Osteolaemus tetraspis					COPE 1861																																									
GBGC4837-08	EU159861	787896	EU159861		Mined from GenBank, NCBI		BOLD:AAA8319	18	Chordata	76	Reptilia	757336	Crocodylia	1109	Crocodylidae			103408	Osteolaemus	103409	Osteolaemus tetraspis					COPE 1861																																									
GBGC4844-08	EU159854	787903	EU159854		Mined from GenBank, NCBI		BOLD:AAA8319	18	Chordata	76	Reptilia	757336	Crocodylia	1109	Crocodylidae			103408	Osteolaemus	103409	Osteolaemus tetraspis					COPE 1861																																									
GBGC4849-08	EU159849	787908	EU159849		Mined from GenBank, NCBI		BOLD:AAA8319	18	Chordata	76	Reptilia	757336	Crocodylia	1109	Crocodylidae			103408	Osteolaemus	103409	Osteolaemus tetraspis					COPE 1861																																									
GBGC4853-08	EU159845	787912	EU159845		Mined from GenBank, NCBI		BOLD:AAA8319	18	Chordata	76	Reptilia	757336	Crocodylia	1109	Crocodylidae			103408	Osteolaemus	103409	Osteolaemus tetraspis					COPE 1861																																									
GBGC4855-08	EU159843	787914	EU159843		Mined from GenBank, NCBI		BOLD:AAA8319	18	Chordata	76	Reptilia	757336	Crocodylia	1109	Crocodylidae			103408	Osteolaemus	103409	Osteolaemus tetraspis					COPE 1861																																									
GBGC4856-08	EU159842	787915	EU159842		Mined from GenBank, NCBI		BOLD:AAA8319	18	Chordata	76	Reptilia	757336	Crocodylia	1109	Crocodylidae			103408	Osteolaemus	103409	Osteolaemus tetraspis					COPE 1861																																									
GBGC4863-08	EU159835	787922	EU159835		Mined from GenBank, NCBI		BOLD:AAA8320	18	Chordata	76	Reptilia	757336	Crocodylia	1109	Crocodylidae			103408	Osteolaemus	103409	Osteolaemus tetraspis					COPE 1861																																									
GBGC6275-08	EF551001	860038	EF551001		Mined from GenBank, NCBI		BOLD:AAA8319	18	Chordata	76	Reptilia	757336	Crocodylia	1109	Crocodylidae			103408	Osteolaemus	103409	Osteolaemus tetraspis					COPE 1861																																									
GBGC6932-09	FJ390091	1020903		FJ390091	Mined from GenBank, NCBI		BOLD:AAA8320	18	Chordata	76	Reptilia	757336	Crocodylia	1109	Crocodylidae			103408	Osteolaemus	103409	Osteolaemus tetraspis					COPE 1861					M. Shirley																							Ghana													
GBGCR471-15	KJ710939	6166202	CNiBongo06	KJ710939	Mined from GenBank, NCBI		BOLD:AAC4127	18	Chordata	76	Reptilia	757336	Crocodylia	1109	Crocodylidae			79471	Crocodylus	81934	Crocodylus niloticus					LAURENTI 1768					M. Shirley													taxon:8501		-2.5355	10.1128							Gabon		N`dougou Lagoon											
GBGCR480-15	KJ710948	6166211	CNiEDE01	KJ710948	Mined from GenBank, NCBI		BOLD:AAC4127	18	Chordata	76	Reptilia	757336	Crocodylia	1109	Crocodylidae			79471	Crocodylus	81934	Crocodylus niloticus					LAURENTI 1768					M. Shirley													taxon:8501		23.8666	32.9104							Egypt		north Lake Nasser, west bank											
GBGCR483-15	KJ710951	6166214	CNiGZ02	KJ710951	Mined from GenBank, NCBI		BOLD:AAC4127	18	Chordata	76	Reptilia	757336	Crocodylia	1109	Crocodylidae			79471	Crocodylus	81934	Crocodylus niloticus					LAURENTI 1768					M. Shirley													taxon:8501										Egypt	Giza	Giza Zoo - Lake Nasser origin											
GBGCR498-15	KJ710966	6166229	GCN46	KJ710966	Mined from GenBank, NCBI		BOLD:AAC4127	18	Chordata	76	Reptilia	757336	Crocodylia	1109	Crocodylidae			79471	Crocodylus	81934	Crocodylus niloticus					LAURENTI 1768					M. Shirley													taxon:8501		-2.29	9.5907							Gabon		Petit Loango, Loango NP											
GBGCR499-15	KJ710967	6166230	GCN48	KJ710967	Mined from GenBank, NCBI		BOLD:AAC4127	18	Chordata	76	Reptilia	757336	Crocodylia	1109	Crocodylidae			79471	Crocodylus	81934	Crocodylus niloticus					LAURENTI 1768					M. Shirley													taxon:8501		-2.29	9.5907							Gabon		Petit Loango, Loango NP											
GBGCR504-15	HM490324	6166235	MAS2	HM490324	Mined from GenBank, NCBI		BOLD:ACS0729	18	Chordata	76	Reptilia	757336	Crocodylia	1109	Crocodylidae			79471	Crocodylus	462342	Crocodylus palustris					LESSON 1831																		taxon:184238																							
GBGCR510-15	HM490330	6166241	MAS8	HM490330	Mined from GenBank, NCBI		BOLD:ACS0729	18	Chordata	76	Reptilia	757336	Crocodylia	1109	Crocodylidae			79471	Crocodylus	462342	Crocodylus palustris					LESSON 1831																		taxon:184238																							
GBGCR517-15	HM490337	6166248	AP7	HM490337	Mined from GenBank, NCBI		BOLD:ACS0729	18	Chordata	76	Reptilia	757336	Crocodylia	1109	Crocodylidae			79471	Crocodylus	462342	Crocodylus palustris					LESSON 1831																		taxon:184238																							
